Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,NetMailArchiver.DataAccess\NetMailArchiver.DataAccess.csproj,File,NetMailArchiver.DataAccess\NetMailArchiver.DataAccess.csproj,,,Microsoft.EntityFrameworkCore 9.0.0,,,,,"Microsoft.EntityFrameworkCore, 9.0.0  Empfehlung:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,NetMailArchiver.DataAccess\NetMailArchiver.DataAccess.csproj,File,NetMailArchiver.DataAccess\NetMailArchiver.DataAccess.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,NetMailArchiver.Models\NetMailArchiver.Models.csproj,File,NetMailArchiver.Models\NetMailArchiver.Models.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,NetMailArchiver.Controllers\NetMailArchiver.Services.csproj,File,NetMailArchiver.Controllers\NetMailArchiver.Services.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\NetMailArchiver.Web.csproj,,,Microsoft.EntityFrameworkCore 9.0.0,,,,,"Microsoft.EntityFrameworkCore, 9.0.0  Empfehlung:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\NetMailArchiver.Web.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.0  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\NetMailArchiver.Web.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.0  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
NuGet.0001,Das NuGet-Paket ist nicht kompatibel,Active,Mandatory,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\NetMailArchiver.Web.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.21.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.21.0  Empfehlung:  Keine unterstützte Version gefunden"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\NetMailArchiver.Web.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\Program.cs,49,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,NetMailArchiver.Web\NetMailArchiver.Web.csproj,File,NetMailArchiver.Web\Program.cs,32,0,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddHttpClient();
